"source","target","target_type","exclude_from_all","target_family","production","win32ide","deep2","test","benchmark","conditional","duplicate_family","stub_risk","line"
"src/core/sentinel_watchdog.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/shadow_page_detour.cpp","RawrEngine","executable","false","shipped/product","true","false","false","false","false","false","","false","1967"
"src/core/shortcut_manager.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/speciator_engine.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/core/speciator_engine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/spengine_stubs.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","true","5079"
"src/core/sqlite3.c","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/ssot_handlers_ext.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","true","","false","2263"
"src/core/ssot_validation.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/startup_phase_registry.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/static_analysis_engine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/streaming_engine_registry.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/swarm_conflict_resolver.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/swarm_coordinator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/swarm_decision_bridge.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/swarm_reconciliation.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/swarm_scheduler.cpp","rawrxd","executable","true","excluded/experimental","false","false","false","false","false","true","","false","222"
"src/core/swarm_scheduler.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/swarm_scheduler.cpp","val_051_2_a_real_token","executable","true","excluded/experimental","false","false","false","false","false","true","","false","321"
"src/core/swarm_worker.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/transaction_journal.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/transcendence_coordinator.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2263"
"src/core/transcendence_coordinator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unified_command_dispatch.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unified_hotpatch_manager.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unified_memory_executor.cpp","RawrXD-TpsSmoke","executable","true","benchmark","false","false","false","false","true","true","","false","6559"
"src/core/unified_memory_executor.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/universal_model_hotpatcher.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/universal_model_merger.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_001.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_002.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_003.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_004.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_005.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_006.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_007.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_008.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_009.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_010.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_011.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_012.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_018.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_019.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_020.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/unlinked_symbols_batch_021.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/update_signature.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/vision_embedding_cache.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/vision_gpu_staging.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/vision_kv_isolation.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/vision_quantized_encoder.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/vision_token_gate.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/voice_automation.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/voice_chat.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/vulkan_kernel_stubs.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","true","2263"
"src/core/vulkan_kernel_stubs.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","true","5079"
"src/core/watchdog_service.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/webrtc_signaling.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/WebView2EditorEngine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/workspace_reasoning_profiles.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/cpu_inference_engine_autofix_stub.cpp","RawrXD-AutoFixCLI","executable","false","supporting production","true","false","false","false","false","true","","true","6051"
"src/cpu_inference_engine.cpp","rawrxd","executable","true","excluded/experimental","false","false","false","false","false","true","","false","6764"
"src/cpu_inference_engine.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/crypto_masm.asm","RawrXD-Crypto","library","false","supporting production","true","false","false","false","false","true","","false","5520"
"src/debug/stress_memory.cpp","stress_memory","executable","true","excluded/experimental","false","false","false","false","false","false","","false","7064"
"src/debug/stress_target.cpp","stress_target","executable","true","excluded/experimental","false","false","false","false","false","false","","false","7056"
"src/debug/test_debugbridge_telemetry.cpp","TestDebugBridgeTelemetry","executable","true","test","false","false","false","true","false","false","","false","7009"
"src/deep2/AntiPatcher.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/AntiPatcher.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/BottleTTL.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/BottleTTL.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/CompressedKVCache.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/CPUFrequency.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/CPUFrequency.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/deep2_end_to_end_bench.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/Deep2Bridge.cpp","test_generation","executable","false","test","false","false","true","true","false","false","deep2bridge.cpp","false","7488"
"src/deep2/Deep2Engine.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","deep2engine.cpp","false","5763"
"src/deep2/Deep2Engine.cpp","test_generation","executable","false","test","false","false","true","true","false","false","deep2engine.cpp","false","7488"
"src/deep2/Deep2ExecutionGraph.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/Deep2IDEIntegration.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/Deep2IDEIntegration.cpp","test_generation","executable","false","test","false","false","true","true","false","false","","false","7488"
"src/deep2/DeepSeekMoELoader.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/DualGPUHook.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/DualGPUHook.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/FabricTensorTable.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/FabricTensorTable.cpp","test_generation","executable","false","test","false","false","true","true","false","false","","false","7488"
"src/deep2/GGUFLoader.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/GoalSystem.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/GoalSystem.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/HotPatcher.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","hotpatcher.cpp","false","5763"
"src/deep2/HotPatcher.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","hotpatcher.cpp","false","5079"
"src/deep2/HotPatcherSafety.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/HotPatcherSafety.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","true","false","false","true","","false","5079"
"src/deep2/InferenceSession.cpp","test_generation","executable","false","test","false","false","true","true","false","false","","false","7488"
"src/deep2/KVCache.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/mars/DualGPUBackend.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/mars/MARSController.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
"src/deep2/mars/TensorHotpatch.cpp","Deep2_Production_Bench","executable","true","benchmark","false","false","true","false","true","true","","false","5763"
