NAME                                 ID         SIZE
phi3-mini-Q2_K                       1e2a3cb1      1.4 GB
codestral22b                         ad429498     11.8 GB
BigDaddyG-F32-FROM-Q4                b94aad46     36.2 GB
BigDaddyG-NO-REFUSE-Q4_K_M           24a4a904     36.2 GB
BigDaddyG-Q2_K-CHEETAH               cd7e5a1a     23.7 GB
BigDaddyG-Q2_K-PRUNED-16GB           1a4da099     15.8 GB
BigDaddyG-Q2_K-ULTRA                 c9a709c5     23.7 GB
BigDaddyG-UNLEASHED-Q4_K_M           e74e36a5     36.2 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     466366d4      4.7 GB
DeepSeek-R1-Q4_K_M-COMPLETE          8d70068f    376.7 GB
DeepSeek-R1-Q4_K_M                   5c121398    109.7 GB
gemma-4-31B-it-Q4_K_M                88e2f4fb     17.4 GB
gemma-4-E4B-it-Q4_K_M                a352f5dd      5.0 GB
GLM-4.7-Flash-Q4_K_M                 2fafd42a     16.9 GB
Q4_K_M                               af902637    578.6 GB
MiniMax-M2.7-Q4_K_M                  a471f97c    128.8 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       ebaae3d6      3.9 GB
Phi-3-medium-128k-instruct-Q4_K_M    561c625f      8.0 GB
Phi-3-mini-4k-instruct-q8_0          7f04b381      2.0 GB
qwen2.5-coder-14b-instruct-q8_0      5159ba20     14.6 GB
Qwen3.5-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking.Q4_K_M 8b5ab2fa     22.3 GB
Qwen3.5-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking.Q8_0 7753f8c8     38.7 GB
Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q4_K_M ad41dbd9     17.2 GB
Qwen3.6-35B-A3B-Q4_K_M               9550e207     19.7 GB
Qwen3.8-27B-AD-Q4_K_M                d8c820fd     15.9 GB
Qwen3.8-Flash-Next-AD-IQ1_M-M64      2ed9998c     79.1 GB
Codestral-22B-v0.1-Q4_K_M            6db3c270     11.8 GB
Phi-3-mini-4k-instruct-q8_0          3b6bcee5      2.0 GB
llama3.2-3b-Q2_K                     951d3bb3      1.3 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       e4b7f601      3.9 GB
Qwen3.8-27B-AD-Q4_K_M                6797f98c     15.9 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     ccf3ae77      4.7 GB
gemma-4-E4B-it-Q4_K_M                cc391b1a      5.0 GB
Phi-3-medium-128k-instruct-Q4_K_M    35929bc6      8.0 GB
Codestral-22B-v0.1-Q4_K_M            dd6968d6     11.8 GB
qwen2.5-coder-14b-instruct-q8_0      b7dd4c1b     14.6 GB
BigDaddyG-Q2_K-ULTRA                 1ea0cf6d     23.7 GB
