ARCH-CERT-001: GGUF Tensor/Operation Inventory
Model: F:\~dev\tinyllama_fresh.gguf
GGUF version: 3
Tensor count: 201
Tensor data offset: 1709440

=== Category Summary ===
Category,Count,ApproxSize
embedding,1,65536000
attention,88,115388416
ffn,88,761311232
output,24,157812736

=== Full Inventory ===
Name,Type,Shape,Offset,Size,Category
blk.8.attn_output.weight,Q4_0,2048x2048,607888768,4194304,output
blk.8.attn_q.weight,Q4_0,2048x2048,610248064,4194304,attention
blk.8.attn_v.weight,Q4_0,2048x256,612607360,524288,attention
blk.9.attn_norm.weight,F32,2048,612902272,2048,attention
blk.9.ffn_down.weight,Q4_0,5632x2048,612910464,11534336,ffn
blk.9.ffn_gate.weight,Q4_0,2048x5632,619398528,11534336,ffn
blk.9.ffn_up.weight,Q4_0,2048x5632,625886592,11534336,ffn
blk.9.ffn_norm.weight,F32,2048,632374656,2048,ffn
blk.9.attn_k.weight,Q4_0,2048x256,632382848,524288,attention
blk.9.attn_output.weight,Q4_0,2048x2048,632677760,4194304,output
blk.9.attn_q.weight,Q4_0,2048x2048,635037056,4194304,attention
blk.9.attn_v.weight,Q4_0,2048x256,637396352,524288,attention
output_norm.weight,F32,2048,637691264,2048,output
