ARCH-CERT-001: GGUF Tensor/Operation Inventory
Model: F:\~dev\Qwen3.5-40B-Q4_K_M.gguf
GGUF version: 3
Tensor count: 1275
Tensor data offset: 11020224

=== Category Summary ===
Category,Count,ApproxSize
embedding,1,1271398400
attention,360,7801909248
ffn,288,25669140480
norm,96,491520
output,26,2026378240
ssm,432,2300329728
conv,72,2949120

=== Full Inventory ===
Name,Type,Shape,Offset,Size,Category
blk.13.ssm_out.weight,Q4_K,6144x5120,5105077824,31457280,ssm
blk.14.attn_gate.weight,Q4_K,5120x6144,5122772544,31457280,attention
blk.14.attn_norm.weight,F32,5120,5140467264,5120,attention
blk.14.attn_qkv.weight,Q5_K,5120x10240,5140487744,52428800,attention
blk.14.ffn_down.weight,Q6_K,17408x5120,5176532544,89128960,ffn
blk.14.ffn_gate.weight,Q4_K,5120x17408,5249646144,89128960,ffn
blk.14.ffn_up.weight,Q4_K,5120x17408,5299781184,89128960,ffn
blk.14.post_attention_norm.weight,F32,5120,5349916224,5120,norm
blk.14.ssm_a,F32,48,5349936704,48,ssm
blk.14.ssm_alpha.weight,Q4_K,5120x48,5349936896,245760,ssm
blk.14.ssm_beta.weight,Q4_K,5120x48,5350075136,245760,ssm
blk.14.ssm_conv1d.weight,F32,4x10240,5350213376,40960,conv
blk.14.ssm_dt.bias,F32,48,5350377216,48,ssm
blk.14.ssm_norm.weight,F32,128,5350377408,128,ssm
blk.14.ssm_out.weight,Q4_K,6144x5120,5350377920,31457280,ssm
blk.15.attn_k.weight,Q4_K,5120x1024,5368072640,5242880,attention
blk.15.attn_k_norm.weight,F32,256,5371021760,256,attention
blk.15.attn_norm.weight,F32,5120,5371022784,5120,attention
blk.15.attn_output.weight,Q4_K,6144x5120,5371043264,31457280,output
blk.15.attn_q.weight,Q4_K,5120x12288,5388737984,62914560,attention
blk.15.attn_q_norm.weight,F32,256,5424127424,256,attention
blk.15.attn_v.weight,Q6_K,5120x1024,5424128448,5242880,attention
blk.15.ffn_down.weight,Q4_K,17408x5120,5428429248,89128960,ffn
blk.15.ffn_gate.weight,Q4_K,5120x17408,5478564288,89128960,ffn
blk.15.ffn_up.weight,Q4_K,5120x17408,5528699328,89128960,ffn
blk.15.post_attention_norm.weight,F32,5120,5578834368,5120,norm
blk.16.attn_gate.weight,Q4_K,5120x6144,5578854848,31457280,attention
blk.16.attn_norm.weight,F32,5120,5596549568,5120,attention
blk.16.attn_qkv.weight,Q5_K,5120x10240,5596570048,52428800,attention
blk.16.ffn_down.weight,Q4_K,17408x5120,5632614848,89128960,ffn
blk.16.ffn_gate.weight,Q4_K,5120x17408,5682749888,89128960,ffn
blk.16.ffn_up.weight,Q4_K,5120x17408,5732884928,89128960,ffn
blk.16.post_attention_norm.weight,F32,5120,5783019968,5120,norm
blk.16.ssm_a,F32,48,5783040448,48,ssm
blk.16.ssm_alpha.weight,Q4_K,5120x48,5783040640,245760,ssm
